,close,open,high,low,volume
2023-02-28,6955.5737,6911.3624,6955.5737,6874.9253,13103602500.0
2023-02-27,6894.3,6928.03,6950.88,6876.25,12930093900.0
2023-02-24,6944.82,6971.65,6983.16,6906.69,12107882600.0
2023-02-23,6966.79,6997.78,7008.68,6929.61,14186246700.0
2023-02-22,6998.43,6961.15,7014.56,6947.12,14460101600.0
2023-02-21,6990.48,6969.35,7008.55,6939.59,17169094600.0
2023-02-20,6959.36,6871.86,6959.75,6825.87,16561437900.0
2023-02-17,6868.55,6931.99,6954.85,6861.3,17265690200.0
2023-02-16,6925.2,7063.93,7098.92,6878.35,21738161700.0
2023-02-15,7063.6,7062.36,7076.87,7038.99,15977932800.0
2023-02-14,7061.45,7064.53,7070.33,7028.79,15178643800.0
2023-02-13,7052.18,6976.33,7052.6,6973.41,16084848000.0
2023-02-10,6975.39,6991.23,7015.25,6926.48,15243205100.0
2023-02-09,6999.18,6864.03,6999.18,6850.57,14914769700.0
2023-02-08,6877.72,6927.33,6932.99,6873.6,13851073100.0
2023-02-07,6924.32,6900.23,6924.42,6864.21,15010875200.0
2023-02-06,6891.41,6902.49,6928.28,6853.91,14605902700.0
2023-02-03,6925.08,6922.79,6934.32,6829.4,15755888000.0
2023-02-02,6933.23,6926.58,6969.79,6908.7,16713398600.0
2023-02-01,6916.72,6815.06,6916.73,6812.79,16965166100.0
2023-01-31,6805.28,6763.4,6820.14,6758.9,14771234600.0
2023-01-30,6786.45,6815.14,6839.84,6780.37,17076933200.0
2023-01-20,6736.85,6690.14,6740.13,6690.14,12276268200.0
2023-01-19,6676.08,6605.45,6678.18,6590.42,10758956000.0
2023-01-18,6613.01,6613.74,6635.85,6593.37,10583467400.0
2023-01-17,6597.49,6600.25,6622.32,6573.28,10842111100.0
2023-01-16,6591.81,6521.45,6628.73,6521.45,14107088800.0
2023-01-13,6517.51,6505.24,6517.51,6475.66,11076193600.0
2023-01-12,6489.57,6495.16,6529.81,6469.48,10493747000.0
2023-01-11,6486.9,6544.57,6562.35,6480.95,11288294200.0
2023-01-10,6540.2,6541.82,6546.54,6505.1,11162812100.0
2023-01-09,6535.75,6523.14,6559.46,6517.57,12204787100.0
2023-01-06,6500.32,6482.88,6539.76,6478.63,12938399700.0
2023-01-05,6485.47,6427.45,6489.99,6413.75,12166152600.0
2023-01-04,6421.28,6423.43,6445.62,6385.0,13104009300.0
2023-01-03,6423.7,6286.81,6433.79,6275.69,13318168000.0
2022-12-30,6281.68,6283.5,6296.24,6262.6,95700.0
2022-12-29,6263.09,6253.79,6322.25,6245.23,101210.0
2022-12-28,6270.94,6304.59,6306.95,6251.41,104100.0
2022-12-27,6326.95,6288.61,6328.36,6256.04,107970.0
2022-12-26,6274.65,6161.94,6275.93,6161.94,98690.0
2022-12-23,6160.36,6154.66,6197.21,6120.94,97060.0
